City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
nouadhibou,0,MR,1579665267,72,20.93,-17.03,59.0,13.87
ushuaia,40,AR,1579665494,70,-54.8,-68.3,46.4,21.92
pedernales,84,DO,1579665494,90,18.04,-71.74,65.71,2.55
cabo san lucas,40,BR,1579665494,83,-8.28,-35.03,82.4,5.82
atuona,68,PF,1579665494,74,-9.8,-139.03,81.01,12.84
hobart,100,AU,1579665489,26,-42.88,147.33,82.99,18.34
leopold,75,AU,1579665495,23,-38.18,144.47,90.0,28.86
sao filipe,59,IN,1579665495,55,20.51,76.21,71.94,16.69
leo,0,BF,1579665495,27,11.1,-2.1,75.29,7.47
lompoc,75,US,1579665496,93,34.64,-120.46,51.8,4.7
grand gaube,90,US,1579665410,100,38.88,-109.5,30.99,4.68
mys shmidta,100,RU,1579665496,88,62.06,48.62,26.96,10.92
yellowknife,5,CA,1579665301,83,62.46,-114.35,-13.0,8.05
hermanus,92,ZA,1579665497,86,-34.42,19.23,66.0,1.01
albany,90,US,1579665260,67,42.6,-73.97,21.99,3.96
kaeo,88,NZ,1579665497,65,-35.1,173.78,79.0,1.99
rikitea,11,PF,1579665497,78,-23.12,-134.97,78.84,12.41
vostok,100,RU,1579665314,89,46.49,135.88,15.13,6.8
punta arenas,9,PH,1579665498,60,8.99,125.34,83.64,1.68
arraial do cabo,77,BR,1579665498,77,-22.84,-46.65,68.0,11.41
ribeira grande,40,ES,1579665499,75,42.75,-8.44,53.01,16.11
ukiah,40,US,1579665499,93,39.15,-123.21,52.0,2.42
kapaa,1,US,1579665499,65,22.08,-159.32,78.8,6.93
tiksi,76,RU,1579665284,90,71.69,128.87,-25.53,4.32
avarua,100,CK,1579665313,94,-21.21,-159.78,77.0,4.7
touros,40,BR,1579665500,83,-5.2,-35.46,78.8,2.24
mar del plata,90,ES,1579665500,93,43.4,-4.01,48.0,5.82
maniitsoq,100,GL,1579665501,87,65.42,-52.9,22.48,15.08
lieksa,64,FI,1579665501,78,63.32,30.02,26.96,10.09
tasiilaq,100,GL,1579665501,92,65.61,-37.64,23.0,42.5
havre-saint-pierre,90,CA,1579665501,85,50.23,-63.6,10.4,15.79
esperance,90,AU,1579665314,82,-33.87,121.9,60.8,26.4
new norfolk,75,LR,1579665235,94,6.65,-10.59,77.0,1.3
port alfred,98,CD,1579665502,65,-7.03,29.76,78.44,10.83
kruisfontein,100,ZA,1579665301,97,-34.0,24.73,63.77,14.83
nha trang,0,NP,1579665502,39,27.91,86.72,-1.19,5.21
chuy,100,UY,1579665333,81,-33.7,-53.46,72.41,10.2
nueva germania,90,EC,1579665503,88,-1.72,-79.83,77.0,3.36
chernyshevskiy,100,RU,1579665503,98,63.01,112.47,-17.0,3.65
roma,90,US,1579665435,79,43.21,-75.46,24.8,7.34
busselton,94,AU,1579665504,82,-33.65,115.33,64.99,5.99
upernavik,61,GL,1579665324,62,72.79,-56.15,1.67,4.36
shenjiamen,100,CN,1579665504,87,29.96,122.3,53.94,6.6
laukaa,82,RU,1579665473,80,58.74,29.85,33.76,11.97
eyl,63,SO,1579665505,79,7.98,49.82,75.2,21.7
bambous virieux,75,MU,1579665289,94,-20.26,57.41,78.01,2.24
mataura,70,NZ,1579665505,49,-46.19,168.86,77.95,3.76
puerto ayora,75,ES,1579665506,93,36.59,-6.23,46.99,4.7
jamestown,90,US,1579665506,79,42.1,-79.24,26.6,9.17
saint-philippe,100,RE,1579665313,100,-21.36,55.77,78.8,17.22
airai,84,TL,1579665506,53,-8.93,125.41,82.94,4.18
vaini,20,TO,1579665507,78,-21.2,-175.2,82.4,11.41
arlington,1,US,1579665440,71,32.74,-97.11,46.99,8.05
moncton,40,CA,1579665507,84,46.12,-64.8,3.2,5.82
cape town,0,CL,1579665508,60,-36.41,-71.9,68.0,2.24
hilo,90,US,1579665508,57,19.73,-155.09,77.0,5.82
waw,89,SS,1579665508,20,7.7,28.0,61.7,6.44
severo-kurilsk,83,RU,1579665508,75,50.68,156.12,18.63,10.25
yeppoon,40,AU,1579665509,35,-23.13,150.73,98.6,4.7
lazaro cardenas,78,DO,1579665509,74,19.46,-71.33,75.99,3.0
pangnirtung,100,CA,1579665337,99,66.15,-65.71,-28.37,3.74
wanning,99,CN,1579665510,75,18.8,110.4,75.4,1.43
kodiak,90,US,1579665258,68,57.79,-152.41,28.4,5.41
plettenberg bay,2,DE,1579665510,100,51.22,7.88,30.99,3.36
mahebourg,75,MU,1579665330,94,-20.41,57.7,78.01,2.24
chara,89,RU,1579665511,70,56.91,118.26,-15.34,1.7
yulara,0,AU,1579665511,12,-25.24,130.99,102.2,5.82
barrow,90,US,1579665295,77,71.29,-156.79,5.0,12.75
ouegoa,93,NC,1579665512,64,-20.35,164.43,76.42,4.18
thompson,90,CA,1579665512,92,55.74,-97.86,19.4,8.05
sur,0,OM,1579665512,76,22.57,59.53,64.15,2.95
labuhan,0,ID,1579665304,64,-6.88,112.21,87.19,2.39
miramar,1,US,1579665513,57,25.99,-80.23,52.0,12.75
nantucket,20,US,1579665513,63,41.28,-70.1,26.6,6.93
campbeltown,97,GB,1579665456,100,55.43,-5.61,48.2,2.24
kahului,20,US,1579665284,64,20.89,-156.47,78.8,4.7
nieuwpoort,0,BE,1579665514,92,51.12,2.77,34.0,3.36
watsa,100,CD,1579665514,60,3.04,29.54,61.47,1.28
chokurdakh,85,RU,1579665514,98,70.63,147.92,-34.78,7.76
guadalupe victoria,90,MX,1579665515,100,25.68,-100.25,53.6,8.05
denpasar,20,ID,1579665376,70,-8.65,115.22,89.6,9.17
